책방 이름,주소,위도,경도,카테고리_대,카테고리_소
1984,마포구 동교로 194 혜원빌딩,37.55738472,126.9228861,문화,새서점      
21세기문고,강남구 남부순환로359길 31,37.48683261,127.0355653,문화,새서점      
C&S서점,강남구 남부순환로 2806 군인공제회관 지하1층,37.48910918,127.0529141,문화,새서점      
Itaewon books,용산구 녹사평대로 208,37.53624637,126.9872269,문화,헌서점      
PRNT,동작구 만양로1길 1 1층,37.50573295,126.9467369,문화,새서점      
SK문고,강북구 솔샘로 215 2층,37.6202008,127.0166087,문화,새서점      
YES24 중고매장(목동점),양천구 오목로 325 지하 1층,37.52510741,126.873627,문화,헌서점      
YES24(강서NC점),"강서구 강서로56길 17 NC백화점 강서점 8, 9층",37.55993353,126.8404988,문화,새서점      
가가77페이지,마포구 망원로 74-1 지하1층,37.55726128,126.9051793,문화,새서점      
가람프라자,금천구 시흥대로41길 95,37.45066173,126.9000346,문화,새서점      
각자의 삶,서울 종로구 창덕궁길 169 1층,37.58305958,126.9865889,문화,새서점      
감성인간서점,성북구 돌곶이로 41가길 14-10,37.61868437,127.0446506,문화,새서점      
갑을문고,성북구 화랑로11길 26,37.60330001,127.0421083,문화,새서점      
강동도서할인매장,강동구 구천면로 500,37.54901953,127.1538303,문화,새서점      
강동헌책방,강동구 구천면로 257,37.54327293,127.1316483,문화,헌서점      
강서책서점,양천구 목동중앙남로 28,37.53647642,126.8673893,문화,새서점      
개똥이네(가양점),강서구 양천로 431 지하 1층,37.56426405,126.8499602,문화,헌서점      
개똥이네(노원점),노원구 동일로217가길 17 2층,37.6533222,127.0593697,문화,헌서점      
개똥이네(영등포점),영등포구 여의대방로62길 2 5층,37.51381602,126.9266765,문화,헌서점      
개똥이네(잠실점),송파구 올림픽로35길 93 지하1층 상가 118호,37.51773252,127.1044332,문화,헌서점      
개롱서적,송파구 오금로 414 명문빌딩 지하1층,37.49720786,127.1359163,문화,새서점      
거목서점,서초구 신반포로 213 지하 9호,37.50727104,127.0072709,문화,새서점      
거북서점,노원구 상계로 115,37.6576976,127.0674937,문화,헌서점      
건영문고,노원구 섬밭로 258 지하 1층,37.63910978,127.0649151,문화,새서점      
게으른 오후,양천로30길 46 1층,37.57118143,126.8224843,문화,새서점      
경일서점,성동구 성수일로 33 지하1층,37.54364277,127.0491876,문화,새서점      
