카테고리_대,카테고리_소,정류소명,위도,경도
bus,hanriver_bus,한강버스.여의도선착장,126.934607,37.52901
bus,hanriver_bus,한강버스.망원선착장,126.894245,37.55468
bus,hanriver_bus,한강버스.마곡선착장,126.84404,37.5751
bus,bus,종로2가사거리,126.9877523,37.56980554
bus,bus,창경궁.서울대학교병원,126.9965206,37.57943293
bus,bus,명륜3가.성대입구,126.9982508,37.58258001
bus,bus,종로2가.삼일교,126.9876131,37.56857927
bus,bus,혜화동로터리.여운형활동터,127.001744,37.586243
bus,bus,서대문역사거리,126.966893,37.566137
bus,bus,서울역사박물관.경희궁앞,126.97038,37.569135
bus,bus,서울역사박물관.경희궁앞,126.970759,37.56951198
bus,bus,광화문역,126.9763534,37.57014168
bus,bus,광화문역,126.9778803,37.57023966
bus,bus,종로1가,126.9810661,37.57014825
bus,bus,종로1가,126.9816283,37.57027101
bus,bus,종로2가,126.9849903,37.57017238
bus,bus,종로2가,126.9865354,37.57023789
bus,bus,종로3가.탑골공원,126.9893256,37.57020889
bus,bus,종로3가.탑골공원,126.9899878,37.57036054
bus,bus,종로4가.종묘,126.9947219,37.570507
bus,bus,종로4가.종묘,126.9953957,37.570635
bus,bus,종로5가.광장시장,126.9990605,37.570786
bus,bus,종로5가.광장시장,126.9996038,37.57093017
bus,bus,종로6가.동대문종합시장,127.0044628,37.57101117
bus,bus,종로6가.동대문종합시장,127.0057137,37.57112723
bus,bus,동대문역.흥인지문,127.0138159,37.57244754
bus,bus,동대문역.흥인지문,127.0124191,37.57215245
bus,bus,동묘앞.서울혜화경찰서,127.0186103,37.57383216
bus,bus,동묘앞.서울혜화경찰서,127.0195528,37.57424646
bus,bus,경기상고,126.9693635,37.58755022
bus,bus,신교동,126.9702627,37.58329552
bus,bus,경기상고,126.9697701,37.58719079
bus,bus,경복고교,126.9708802,37.58516003
bus,bus,청운중학교,126.9726741,37.58781058
bus,bus,자하문고개.윤동주문학관,126.9671262,37.59218662
bus,bus,자하문고개.윤동주문학관,126.9671907,37.59233532
bus,bus,청운중학교,126.9722631,37.58842196
bus,bus,경복고교,126.9714039,37.5850633
bus,bus,통인시장종로구보건소,126.97105,37.5803257
bus,bus,통인시장종로구보건소,126.9713851,37.58051321
bus,bus,효자동,126.970621,37.58309104
bus,bus,사직단.어린이도서관,126.9679907,37.57513553
bus,bus,경복궁역1번출구,126.9714158,37.57616149
bus,bus,경복궁역2번출구,126.9721994,37.57704014
bus,bus,경복궁역3번출구,126.9722829,37.57767139
bus,bus,경복궁,126.9787471,37.57557679
bus,bus,광화문역2번출구.KT광화문지사,126.9774163,37.57232093
bus,bus,영추문,126.9739818,37.57893039
bus,bus,광화문역6번출구,126.9764072,37.57004483
bus,bus,서울역사박물관.강북삼성병원,126.971248,37.570023
bus,bus,새문안교회,126.9728386,37.57033689
bus,bus,광화문역7번출구,126.975837,37.570365
bus,bus,세종문화회관,126.9769976,37.57364893
bus,bus,서울경찰청.경복궁역,126.9714843,37.57574466
bus,bus,사직단,126.968189,37.57485535
bus,bus,광화문역6번출구.광화문빌딩,126.9768637,37.56950355
bus,bus,덕성여중고,126.9819722,37.57576939
bus,bus,안국역.서울공예박물관,126.9839958,37.57606956
bus,bus,국민은행세검정지점,126.960888,37.60466298
bus,bus,세검정초등학교,126.9612198,37.60250228
bus,bus,세검정.상명대,126.9582921,37.60047709
bus,bus,상명대입구.석파랑,126.9585702,37.59941335
bus,bus,하림각,126.9617068,37.59813307
bus,bus,자하문터널입구.석파정,126.9636435,37.59559351
bus,bus,부암동주민센터.무계원,126.9642222,37.59276708
bus,bus,부암동주민센터.무계원,126.9651419,37.59278617
bus,bus,자하문터널입구.석파정,126.9639776,37.59555757
bus,bus,하림각,126.9622153,37.59814765
bus,bus,상명대입구.세검정교회,126.9592406,37.59961633
bus,bus,세검정.세검정성당,126.9591558,37.6006471
bus,bus,세검정초등학교,126.9614329,37.60226807
bus,bus,국민은행세검정지점,126.9611927,37.60484616
bus,bus,승가사입구,126.956306,37.61158441
bus,bus,구기동현대빌라,126.9564576,37.6100355
bus,bus,구기터널.삼성출판박물관,126.9562103,37.60860989
bus,bus,구기터널.삼성출판박물관,126.9564167,37.6083054
bus,bus,구기동,126.9585298,37.60696445
bus,bus,구기동,126.9591017,37.6070088
bus,bus,승가사입구,126.956482,37.61148
bus,bus,갑을씨티텔앞,126.963535,37.60437097
bus,bus,평창파출소,126.9660433,37.60532237
bus,bus,평창동주민센터,126.9695663,37.60660737
bus,bus,일성아파트,126.9729237,37.60887236
bus,bus,롯데아파트,126.9763156,37.61038972
bus,bus,롯데아파트,126.976652,37.610248
bus,bus,벽산평창힐스아파트,126.972797,37.60819
bus,bus,예능교회,126.97,37.606517
bus,bus,서울예술고등학교.평창동주민센터,126.9676276,37.60577876
bus,bus,화정박물관,126.9648103,37.60450382
bus,bus,삼성강북병원.경교장,126.9686005,37.56814593
bus,bus,독립문역.서대문형무소역사관,126.959322,37.573395
bus,bus,금화초등학교.서울시교육청,126.964867,37.567879
bus,bus,서대문역사거리.적십자병원,126.9675878,37.56710815
bus,bus,독립문,126.9614303,37.57134302
bus,bus,창덕궁.우리소리박물관,126.9885394,37.57754057
bus,bus,서린동.SK서린빌딩,126.9800948,37.5692639
bus,bus,청계1가.장통교,126.9849267,37.56868439
bus,bus,청계2가.수표교,126.9908172,37.56844532
bus,bus,청계4가.세운교,126.9965617,37.5689254
bus,bus,청계5가.광장시장,126.9997974,37.56945128
bus,bus,원남동,126.9973383,37.57453251
bus,bus,창덕궁.우리소리박물관,126.9889539,37.57727265
bus,bus,안국역6번출구.인사동문화의거리,126.9841344,37.57579898
bus,bus,조계사.종로경찰서,126.9831556,37.57252231
bus,bus,조계사.종로경찰서,126.9828259,37.57248581
bus,bus,안국동사거리,126.9827201,37.57461057
bus,bus,효제동.김상옥의거터,127.00223,37.5745
bus,bus,종로5가.효제초등학교,127.0021442,37.57287901
bus,bus,창덕궁.돈화문국악당,126.991235,37.57743277
bus,bus,종로5가역6번출구,127.0021827,37.5705596
bus,bus,청계5가.마전교,127.0028494,37.56983511
bus,bus,동대문,127.0084126,37.57172624
bus,bus,충신동,127.0062788,37.57402235
bus,bus,충신동,127.0063434,37.57446028
bus,bus,연지공원앞,127.0008066,37.57591041
bus,bus,방송통신대.이화장,127.002437,37.578043
bus,bus,혜화역2번출구.마로니에공원,127.0022769,37.58111949
bus,bus,혜화역3번출구.서울대병원입구,127.0018482,37.58095597
bus,bus,방송통신대.이화장,127.0019783,37.57778897
bus,bus,연지공원앞,127.0006951,37.57611936
bus,bus,창경궁.서울대학교병원,126.9968717,37.57882799
bus,bus,이화동(이화장),127.0032708,37.57593729
bus,bus,혜화동로터리,127.0006878,37.58558033
bus,bus,명륜동2가.성균관대입구,126.9993413,37.58341708
bus,bus,혜화역.서울연극센터(장면총리가옥),127.0014609,37.58403069
bus,bus,혜화역.동성중고(장면총리가옥),127.0015562,37.58453294
bus,bus,종로구민회관.창신동두산아파트,127.0155555,37.57409268
bus,bus,동묘앞역6번출구,127.0156014,37.57168496
bus,bus,동묘앞역5번출구,127.015945,37.57192215
bus,bus,청계2가교차로,126.9878779,37.5684809
bus,bus,창신3동주민센터,127.015178,37.578413
bus,bus,숭인1동주민센터.창신역4번출구,127.0154558,37.57862816
bus,bus,동묘앞역.롯데캐슬천지인,127.0158024,37.57418005
bus,bus,신설동역오거리,127.0228414,37.57569473
bus,bus,동묘앞역2번출구,127.0175235,37.57364311
bus,bus,구기동현대빌라,126.956622,37.609682
bus,bus,광장시장,126.9977438,37.56949631
bus,bus,서울특별시재향군인회관,126.9974788,37.57258074
bus,bus,서울역사박물관,126.9721318,37.56990034
bus,bus,청계3가.관수교,126.9937794,37.56868879
bus,bus,청계6가.버들다리,127.0080377,37.56993039
bus,bus,청계7가.맑은내다리,127.0130967,37.57004196
bus,bus,청계8가.영도교,127.0181256,37.57089499
bus,bus,원남동사거리,126.9981123,37.57576174
bus,bus,숭인2동주민센터,127.0204373,37.57427215
bus,bus,조계사,126.9831609,37.57280034
bus,bus,세종문화회관,126.9770167,37.57336557
bus,bus,이화동(이화장),127.002955,37.576257
bus,bus,상명대정문,126.955143,37.601417
bus,bus,이북오도청,126.955973,37.61272348
bus,bus,경복궁역(효자로입구),126.9743023,37.57670951
bus,bus,상명대입구.세검정교회,126.9597922,37.59944351
bus,bus,상명대입구.석파랑,126.9581941,37.59957181
bus,bus,종로중부새마을금고,127.0065911,37.57241749
bus,bus,신설동역오거리.서울풍물시장,127.0231951,37.57425481
bus,bus,청계2가.삼일교,126.9869891,37.56834543
bus,bus,청계8가.황학교,127.022787,37.57213073
bus,bus,평창동삼성아파트,126.9787981,37.61118009
bus,bus,안국역5번출구,126.9855365,37.57633293
bus,bus,안국역.서울공예박물관,126.9848871,37.57641401
bus,bus,창덕궁,126.9890031,37.57722809
bus,bus,남인사마당,126.9874286,37.57131917
bus,bus,평창파출소,126.9668167,37.60568122
bus,bus,삼청공원,126.9816469,37.58822768
bus,bus,수성동계곡,126.9644679,37.58208138
bus,bus,명륜3가종점,126.9928637,37.59094838
bus,bus,명륜새마을금고,126.9967901,37.58778547
bus,bus,서대문역3번출구,126.9663939,37.56633706
bus,bus,낙산공원,127.0087216,37.58040372
bus,bus,인사미술공간.세탁소,126.9893671,37.58141098
bus,bus,화정박물관,126.9648837,37.6048012
bus,bus,금융연수원,126.9816583,37.58663983
bus,bus,박노수미술관,126.9666035,37.58099674
bus,bus,샘미용실.종로구청소년상담복지센터,126.9932227,37.59030953
bus,bus,서울국제고등학교,126.9972903,37.58907159
bus,bus,화정박물관,126.9652008,37.60498061
bus,bus,적십자병원후문앞,126.9649058,37.56790794
bus,bus,서울성곽.성대후문,126.9895694,37.58936638
bus,bus,빨래터.고희동미술관,126.9890634,37.58298722
bus,bus,세검초등학교,126.9614908,37.60425228
bus,bus,삼청동주민센터,126.9819072,37.58426383
bus,bus,통인시장,126.9684957,37.58044175
bus,bus,양현관,126.9936044,37.58979142
bus,bus,국민생활관,126.998862,37.58974563
bus,bus,오거리,126.9622629,37.60706212
bus,bus,경희궁자이2.3단지,126.9640686,37.56878711
