기관명,주소,위도,경도,카테고리_대,카테고리_소
가산기대찬의원,"서울특별시 금천구 벚꽃로 286, 삼성리더스타워 111~114호 (가산동)",37.4803938,126.8841225,병원,의원
365엠씨의원,"서울특별시 강남구 도산대로 118 (논현동, 신사빌딩 2층)",37.5166042,127.0218085,병원,의원
(의)열린의료재단구로열린의원,"서울특별시 구로구 구로중앙로 68, 208, 209, 210호 (구로동, 신안타워)",37.49586031,126.8888073,병원,의원
(의)열린의료재단동대문열린의원,"서울특별시 종로구 종로 335, 원풍빌딩 6층 (창신동)",37.57310361,127.0148243,병원,의원
가로수치과의원,"서울특별시 관악구 신원로 38, 5층 (신림동, 청암빌딩)",37.48191799,126.9293767,병원,치과의원
(의)열린의료재단미아열린의원,"서울특별시 강북구 도봉로 213, 하당빌딩 3,4층 (미아동)",37.62760133,127.0252627,병원,의원
(의)열린의료재단상봉열린의원,"서울특별시 중랑구 면목로 492, 주연빌딩 7,8 일부층 (상봉동)",37.59590458,127.0859691,병원,의원
(의)열린의료재단서초열린의원,"서울특별시 서초구 서초대로 320, 하림인터내셔날빌딩 3층 (서초동)",37.49422002,127.0165761,병원,의원
가좌경희한의원,"서울특별시 서대문구 수색로 56, 129~130호 (북가좌동, 성공타워1)",37.5708141,126.9127073,병원,한의원
(의)열린의료재단연신내열린의원,"서울특별시 은평구 통일로 861, 범일빌딩 6층 (갈현동)",37.61980506,126.9202322,병원,의원
(의)열린의료재단영등포열린의원,"서울특별시 영등포구 경인로 841, 영등포우체국 4,5층 (영등포동4가)",37.51653019,126.9060431,병원,의원
(의)열린의료재단예인의원,"서울특별시 강서구 양천로 366, 5,6층 (가양동, 미라클빌딩)",37.56723069,126.8429112,병원,의원
(의)열린의료재단은평열린의원,"서울특별시 은평구 서오릉로 145, 상원빌딩 4층 (구산동)",37.61128641,126.9164773,병원,의원
(의)열린의료재단혜화열린의원,"서울특별시 성북구 동소문로 125, 5~6층 (동선동4가)",37.59415628,127.0182186,병원,의원
(재)원불교서울보화당한의원,"서울특별시 종로구 종로 237 (종로5가, 서울보화당)",37.57131572,127.0042094,병원,한의원
21세기한의원,"서울특별시 중구 남대문시장길 73-3, 7층 (회현동1가)",37.56098914,126.9800111,병원,한의원
(재)이랜드재단이랜드의원,"서울특별시 금천구 가산디지털1로 186, 제이플라츠 401~402호 (가산동)",37.48191309,126.8815811,병원,의원
97.7비엔에치의원,"서울특별시 용산구 유엔빌리지길 72, 지하1,지상1,2층 (한남동)",37.53218945,127.010816,병원,의원
(재)천주교서울대교구유지재단전진상의원,"서울특별시 금천구 탑골로3가길 22, 전진상사회복지관 (시흥동)",37.45258801,126.9107337,병원,의원
(재)한국산업의학연구소래피젠헬스케어의원,"서울특별시 금천구 가산디지털2로 135, 가산 어반워크I 2층 201~216호 (가산동)",37.47116193,126.8977407,병원,의원
강북권의료복지사회적협동조합명성의원,"서울특별시 도봉구 도봉로 759, 2, 3층 (도봉동)",37.67232939,127.0436867,병원,의원
(주)클래시스부속의원,"서울특별시 강남구 테헤란로 208, 클래시스 19층 (역삼동)",37.50113012,127.0390986,병원,의원
S앤비한의원,"서울특별시 송파구 가락로 169 (송파동,2층)",37.50405979,127.1138783,병원,한의원
경희한의원,서울특별시 강북구 도봉로 45 (미아동),37.61314356,127.0294532,병원,한의원
10년전당신의오늘의원,"서울특별시 강남구 도산대로 452, JS빌딩 3층 (청담동)",37.52363049,127.0457336,병원,의원
가우디치과병원,"서울특별시 강남구 테헤란로 520, 4층 (대치동, 삼안빌딩)",37.50782546,127.0610612,병원,치과병원
10월10일한의원,"서울특별시 서초구 양재천로 99-2, 유림빌딩 2층 (양재동)",37.47638778,127.0400018,병원,한의원
123스텝업병원,"서울특별시 강동구 올림픽로 628-3, 지하1, 지상2~9층 (성내동)",37.53739199,127.1234945,병원,병원
123의원,"서울특별시 강남구 삼성로 212  (대치동, 은마아파트)",37.49528296,127.0637107,병원,의원
123치과교정과치과의원,"서울특별시 송파구 올림픽로 300, 4층 (신천동)",37.51371299,127.1043018,병원,치과의원
14,"서울특별시 서초구 서초대로77길 3, 아라타워 14층 (서초동)",37.49806091,127.0265048,병원,의원
가산의원,"서울특별시 금천구 가산디지털1로 186, 4층 403호 (가산동, 제이플라츠)",37.48191219,126.881583,병원,의원
180(일팔공)한의원,"서울특별시 송파구 송파대로 141, 르피에드 213호,216~222호 (문정동)",37.48279825,127.1233399,병원,한의원
회현치과의원,"서울특별시 중구 퇴계로 70, 2층 (회현동1가)",37.55920811,126.9798659,병원,치과의원
경희부부한의원,"서울특별시 강동구 양재대로 1478, 4층 (길동)",37.53769371,127.1402275,병원,한의원
1신건우이비인후과의원,"서울특별시 중랑구 동일로 634, 덕천빌딩 3층 (면목동)",37.58706583,127.080224,병원,의원
강남유닉플란트치과의원,"서울특별시 강남구 봉은사로 111, 801호 (논현동)",37.56083625,126.9790478,병원,치과의원
2060오스킨성형외과의원,"서울특별시 강남구 테헤란로87길 13, 서영빌딩 7층 (삼성동)",37.50863338,127.0585918,병원,의원
강남청아한의원,"서울특별시 강남구 남부순환로 2933, 203호 (대치동, 대치상가 )",37.49392835,127.0610408,병원,한의원
2080치과의원,"서울특별시 강북구 솔샘로 231, 2층 (미아동)",37.62017414,127.0183932,병원,치과의원
