영업상태명,도로명주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),카테고리_대,카태고리_소
영업/정상,"서울특별시 강동구 양재대로 1360, 포레온스테이션5 (둔촌동)",GS THE FRESH 둔촌포레온점,구분없음,212195.1099,447197.2733,생활/편의,슈퍼마켓
영업/정상,"서울특별시 강동구 양재대로 1360, 포레온스테이션5 (둔촌동)",하나로마트 둔촌점,구분없음,212195.1099,447197.2733,생활/편의,슈퍼마켓
영업/정상,서울특별시 광진구 광나루로39길 11 (구의동),구의 자이르네 판매시설,그 밖의 대규모점포,207775.8651,449252.3869,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 동작구 만양로 93, 주영빌딩 B1층 (노량진동)",GS THE FRESH 노량진역점,구분없음,194984.4173,445509.9798,생활/편의,슈퍼마켓
영업/정상,서울특별시 강북구 삼양로79길 24-17 (수유동),GS THE FRESH 수유중앙점,구분없음,201357.4874,458750.3902,생활/편의,슈퍼마켓
영업/정상,서울특별시 광진구 능동로13길 39 (화양동),(주)지에스리테일GS수퍼 광진화양점,구분없음,206107.7752,449029.3422,생활/편의,슈퍼마켓
영업/정상,"서울특별시 성동구 마장로 137, 221동 1층 1230호,1231호,1232(일부)호 (상왕십리동, 텐즈힐)",GS THE FRESH 성동텐즈힐점,구분없음,202113.8696,451897.5819,생활/편의,슈퍼마켓
영업/정상,"서울특별시 용산구 이촌로 200, LG프라자 지하1층 (이촌동)",GS THE FRESH 용산이촌점,구분없음,197221.4393,446524.5084,생활/편의,슈퍼마켓
영업/정상,"서울특별시 송파구 동남로 189 (가락동, 쌍용아파트)",(주)지에스리테일 송파점,구분없음,211259.9098,443711.7029,생활/편의,슈퍼마켓
영업/정상,"서울특별시 서대문구 이화여대길 50-12, 상가동 1층 101호 (대현동, 신촌럭키아파트)",GS THE FRESH 신촌이대역점,그 밖의 대규모점포,195332.1234,450806.0584,생활/편의,슈퍼마켓
영업/정상,"서울특별시 서대문구 거북골로 100, 지하3층 32,33,34,35호 (남가좌동, 래미안 루센티아)",GS THE FRESH 남가좌디엠씨점,구분없음,192641.1459,452652.0599,생활/편의,슈퍼마켓
영업/정상,"서울특별시 송파구 거마로 56(거여동, 송파시그니처롯데캐슬)",GS THE FRESH 송파시그니처점,구분없음,213149.5228,443705.4731,생활/편의,슈퍼마켓
영업/정상,"서울특별시 성북구 보문로 121, 신한은행보문동지점 1층 일부 (보문동2가)",GS더프레시 보문역사거리점,구분없음,201572.0413,453729.4578,생활/편의,슈퍼마켓
영업/정상,서울특별시 서초구 동광로 35 (방배동),GS THE FRESH 방배중앙점,구분없음,198748.2714,443257.3135,생활/편의,슈퍼마켓
영업/정상,"서울특별시 용산구 백범로 341 (원효로1가, 리첸시아 용산)",롯데쇼핑(주)롯데슈퍼원효로점,복합쇼핑몰,197045.8495,448447.559,생활/편의,복합쇼핑몰
영업/정상,서울특별시 송파구 중대로 80 (문정동),롯데쇼핑(주)롯데마트 송파점,대형마트,210343.6993,443288.285,생활/편의,대형마트
영업/정상,"서울특별시 송파구 올림픽로35길 45, 잠실래미안아이파크 단지내 상가 B101~B106호 (신천동)",GS THE FRESH 잠실래미안점,구분없음,209720.2906,446244.3504,생활/편의,슈퍼마켓
영업/정상,"서울특별시 성동구 독서당로 223, 래미안 옥수 리버젠 상가 상가동 423~428호 (옥수동)",GS THE FRESH 성동옥수점,구분없음,201153.9816,449188.9705,생활/편의,슈퍼마켓
영업/정상,서울특별시 강동구 고덕로 133 (암사동),(주)지에스리테일 암사캐슬점,구분없음,212334.9585,450346.7907,생활/편의,슈퍼마켓
영업/정상,서울특별시 강남구 도산대로85길 30 (청담동),신원아침도시마인상가,그 밖의 대규모점포,204320.6332,447133.6585,생활/편의,그 밖의 대규모점포
