카테고리_대,카테고리_소,공원명,소재지지번주소,위도,경도
공원,어린이공원,풀잎공원,서울특별시 강서구 공항동 705,37.556989,126.816565
공원,어린이공원,푸르미공원,서울특별시 강서구 마곡동 316-1,37.570478,126.825219
공원,어린이공원,예솔공원,서울특별시 강서구 마곡동 397-1,37.563629,126.822694
공원,어린이공원,솔공원,서울특별시 강서구 외발산동 69-1,37.555856,126.825767
공원,어린이공원,햇빛공원,서울특별시 강서구 내발산동 384-2,37.555822,126.826886
공원,근린공원,마곡지구4호공원,서울특별시 강서구 마곡동 811-5,37.568317,126.826463
공원,소공원,푸른수명산공원,서울특별시 강서구 화곡동 1091-15,37.544175,126.830269
공원,소공원,마곡공원,서울특별시 강서구 마곡동 737-16,37.56758598,126.8219651
공원,소공원,염창공원,서울특별시 강서구염창동 309-1,37.549839,126.8706462
공원,소공원,염창2공원,서울특별시 강서구염창동 306-1,37.551722,126.873857
공원,문화공원,탑산(가양동)공원,서울특별시 강서구가양동 1499,37.566194,126.846336
공원,문화공원,새개공원,서울특별시 강서구마곡동 800-7,37.558287,126.8301253
공원,문화공원,놋다리공원,서울특별시 강서구마곡동 790-6,37.562055,126.8363266
공원,문화공원,똘고랑공원,서울특별시 강서구 마곡동 756-4,37.57072504,126.8279071
공원,문화공원,선두암공원,서울특별시 강서구 마곡동 778-4,37.56729616,126.8382088
공원,문화공원,한다리공원,서울특별시 강서구 마곡동 727-1038,37.5610600,126.8303690
공원,기타,가로공원1호공원,서울특별시 강서구 마곡동 797-5,37.559061,126.837242
공원,어린이공원,푸른공원,서울특별시 강북구 인수동 516-44,37.6384972,127.0084905
공원,어린이공원,무너미공원,서울특별시 강북구 수유동 281-2,37.6460654,127.0127414
공원,어린이공원,빨래골공원,서울특별시 강북구 수유1동 475-115,37.6294229,127.0148533
공원,어린이공원,장미원공원,서울특별시 강북구 수유2동 276-10,37.6464688,127.0157277
공원,근린공원,솔밭근린공원,서울특별시 강북구 우이동 80,37.6530083,127.012253
공원,어린이공원,송중동공원,서울특별시 강북구 송중동 128-8,37.6225901,127.0286277
공원,어린이공원,소귀공원,서울특별시 강북구 수유3동 25-1,37.6385644,127.0186984
공원,근린공원,북한산근린공원,서울특별시 강북구 미아동 산108-19,37.6210716,127.0083592
공원,소공원,미아12-1공원,서울특별시 강북구 미아동 812-5,37.61628296,127.0195237
공원,소공원,미아12-2공원,서울특별시 강북구 미아동 812-3,37.6167822,127.0214537
공원,어린이공원,미아9-1공원,서울특별시 강북구 송중동 1369-1,37.6207197,127.0335003
공원,소공원,어울림공원,서울특별시 강북구 송중동 4-1,37.6168529,127.0355326
공원,소공원,미아5구역공원,서울특별시 강북구 송천동 476-252,37.6125192,127.0267764
공원,기타,오동도시자연공원,서울특별시 강북구 번동 산27-5,37.62379857,127.0341655
공원,어린이공원,꿈나무공원,서울특별시 금천구 독산동 378-434,37.46346975,126.9049179
공원,어린이공원,정훈공원,서울특별시 금천구 독산동 378-4,37.46567731,126.9063221
공원,소공원,산  새공원,서울특별시 서초구 신원동 664,37.44596958,127.0576452
공원,소공원,벌  말공원,서울특별시 서초구 신원동 626,37.44915846,127.0578674
