카테고리_대,카테고리_소,관서명,주소,위도,경도
안전,경찰서/파출소,을지_지구대,서울특별시 중구 퇴계로49길 13,37.56306069,127.000149
안전,경찰서/파출소,광희_지구대,서울특별시 중구  퇴계로 375-1,37.56526845,127.0133764
안전,경찰서/파출소,약수_지구대,서울특별시 중구  동호로 5길 15,37.55214428,127.0123821
안전,경찰서/파출소,신당_파출소,"서울특별시 중구  다산로 248 (신당동, 신당파출소)",37.56504427,127.016385
안전,경찰서/파출소,장충_파출소,서울특별시 중구  동호로 261,37.55876338,127.004802
안전,경찰서/파출소,충무_파출소,서울특별시 중구  퇴계로 178,37.5608716,126.9915808
안전,경찰서/파출소,을지로3가_파출소,서울특별시 중구 충무로56-1,37.56618152,126.9928483
안전,경찰서/파출소,종로2가_지구대,서울특별시 종로구  종로17길 4 ,37.57050222,126.9889229
안전,경찰서/파출소,관수_파출소,서울특별시 종로구 삼일대로15길 19 1층(임시파출소),37.5686968,126.9863455
안전,경찰서/파출소,세검정_파출소,서울특별시 종로구  세검정로 226 ,37.60002169,126.9584634
안전,경찰서/파출소,평창_파출소,서울특별시 종로구  평창문화로 46,37.60524867,126.9666273
안전,경찰서/파출소,삼청_파출소,서울특별시 종로구 삼청로 75-2 (팔판동),37.58234377,126.9814619
안전,경찰서/파출소,통의_파출소,서울특별시 종로구  효자로 9,37.57677089,126.9740067
안전,경찰서/파출소,청운_파출소,서울특별시 종로구  자하문로 92-1,37.58422788,126.9705839
안전,경찰서/파출소,옥인_파출소,서울특별시 종로구  자하문로17길 24,37.58147343,126.9694263
안전,경찰서/파출소,교남_파출소,서울특별시 종로구  송월길 152,37.57181358,126.9621992
안전,경찰서/파출소,세종로_파출소,서울특별시 중구  세종대로 141,37.56894725,126.9764297
안전,경찰서/파출소,신문로_파출소,서울특별시 종로구  경희궁길 6-3,37.57075526,126.9722339
안전,경찰서/파출소,사직_파출소,서울특별시 종로구  사직로9가길 6 1층,37.57656534,126.9690408
안전,경찰서/파출소,청진_파출소,서울특별시 종로구 우정국로 45-3 1층(임시파출소),37.57297127,126.9826619
안전,경찰서/파출소,태평로_파출소,서울특별시 중구  다동길 11,37.56800799,126.9799914
안전,경찰서/파출소,서울역_파출소,서울특별시 중구  통일로 15,37.55689006,126.9716735
안전,경찰서/파출소,명동_파출소,서울특별시 중구  명동길 30 명동파출소,37.56358957,126.9839685
안전,경찰서/파출소,남대문_파출소,서울특별시 중구  남대문시장4길 28-16,37.55901366,126.9763919
안전,경찰서/파출소,중림_파출소,서울특별시 중구  중림로 36,37.55788934,126.9671156
안전,경찰서/파출소,회현_파출소,서울특별시 중구  퇴계로6길 3-15,37.55844125,126.9787072
안전,경찰서/파출소,서소문_파출소,서울특별시 중구  서소문로 131-1 서소문파출소,37.56383757,126.975372
안전,경찰서/파출소,충정로_지구대,서울특별시 서대문구  독립문로 25-1,37.56988437,126.9611093
안전,경찰서/파출소,신촌_지구대,서울특별시 서대문구  신촌역로 22,37.55855258,126.9430099
안전,경찰서/파출소,홍은_파출소,서울특별시 서대문구 세검정로1길 112,37.59524771,126.946424
안전,경찰서/파출소,연희_파출소,서울특별시 서대문구  연희로25길 73,37.57027551,126.9328491
안전,경찰서/파출소,남가좌_파출소,서울특별시 서대문구  가재울로4길 51,37.57605565,126.9240591
안전,경찰서/파출소,북가좌_파출소,서울특별시 서대문구  응암로1길 13,37.58132332,126.9105668
안전,경찰서/파출소,홍제_파출소,서울특별시 서대문구  통일로 441-1,37.58817073,126.9445533
안전,경찰서/파출소,홍은2_파출소,서울특별시 서대문구  연희로 298,37.58360533,126.9362112
안전,경찰서/파출소,혜화_파출소,서울특별시 종로구  창경궁로 279 ,37.5861084,127.0014075
안전,경찰서/파출소,대학로_파출소,서울특별시 종로구  이화장2길 33,37.57861171,127.0060453
안전,경찰서/파출소,명륜_파출소,서울특별시 종로구  성균관로 78,37.58927843,126.9975993
안전,경찰서/파출소,창신_파출소,서울특별시 종로구  지봉로13길 20-12,37.57849369,127.013542
안전,경찰서/파출소,동묘_파출소,서울특별시 종로구  종로58가길 19 동묘파출소,37.57269632,127.0171175
