점포명,주소,위도,경도,카테고리_대,카테고리_소
스타벅스 논현역사거리,서울특별시 강남구 강남대로 538 (논현동),37.51022023,127.0222691,cafe,cafe
스타벅스 신사역성일빌딩,서울특별시 강남구 강남대로 584 (논현동),37.5139724,127.0206119,cafe,cafe
스타벅스 국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동),37.49960369,127.0316768,cafe,cafe
스타벅스 대치재경빌딩,서울특별시 강남구 남부순환로 2947 (대치동)...,37.49456039,127.0626325,cafe,cafe
스타벅스 봉은사역,서울특별시 강남구 봉은사로 619 (삼성동),37.51502737,127.0631168,cafe,cafe
스타벅스 압구정윤성빌딩,서울특별시 강남구 논현로 834 (신사동),37.52283183,127.0286148,cafe,cafe
스타벅스 코엑스별마당,서울특별시 강남구 영동대로 513 (삼성동),37.51182391,127.059159,cafe,cafe
스타벅스 삼성역섬유센터R,서울특별시 강남구 테헤란로 518 (대치동),37.50759108,127.0605794,cafe,cafe
스타벅스 압구정R,서울특별시 강남구 언주로 861 (신사동),37.52739909,127.0331135,cafe,cafe
스타벅스 수서역R,서울특별시 강남구 광평로 281 (수서동),37.48812472,127.1031479,cafe,cafe
스타벅스 양재강남빌딩R,서울특별시 강남구 남부순환로 2621 (도곡동)...,37.48526526,127.0366205,cafe,cafe
스타벅스 선릉동신빌딩R,서울특별시 강남구 테헤란로 409 (삼성동),37.50536012,127.0503869,cafe,cafe
스타벅스 봉은사로선정릉,서울특별시 강남구 봉은사로 446 (삼성동),37.51136781,127.0485167,cafe,cafe
스타벅스 강남오거리,서울특별시 강남구 봉은사로2길 39 (역삼동),37.5021082,127.0266591,cafe,cafe
스타벅스 스타필드코엑스몰R,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호...,37.51182391,127.059159,cafe,cafe
스타벅스 강남구청정문,서울특별시 강남구 학동로 419 (청담동),37.5183061,127.0459765,cafe,cafe
스타벅스 도곡공원,서울특별시 강남구 도곡로 205 (역삼동),37.49291982,127.0413646,cafe,cafe
스타벅스 강남R,서울특별시 강남구 강남대로 390 (역삼동),37.49783995,127.0285788,cafe,cafe
스타벅스 대치은마사거리,서울특별시 강남구 도곡로 457 (대치동),37.49900354,127.0601786,cafe,cafe
스타벅스 청담영동대로,서울특별시 강남구 영동대로 720 (청담동),37.52218767,127.0564609,cafe,cafe
스타벅스 압구정,서울특별시 강남구 압구정로30길 17 (신사동)...,37.52633019,127.0295537,cafe,cafe
스타벅스 신사가로수,서울특별시 강남구 가로수길 59,37.5218898,127.0225212,cafe,cafe
스타벅스 청담스타R,서울특별시 강남구 도산대로57길 24 (청담동)...,37.52525789,127.0418372,cafe,cafe
스타벅스 강남우성,서울특별시 강남구 강남대로 328 (역삼동),37.49242729,127.0309212,cafe,cafe
스타벅스 학동사거리,서울특별시 강남구 도산대로 328 (논현동),37.52240221,127.0379672,cafe,cafe
스타벅스 대치사거리,서울특별시 강남구 삼성로 402 (대치동),37.50336796,127.0588345,cafe,cafe
스타벅스 포스코사거리,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩...,37.50756941,127.0574407,cafe,cafe
스타벅스 을지병원사거리,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)...",37.51916095,127.0286444,cafe,cafe
스타벅스 신사역,서울특별시 강남구 도산대로 108 (논현동) 렉스타워...,37.51619183,127.0206559,cafe,cafe
스타벅스 도곡역,서울특별시 강남구 남부순환로 2909 (대치동)...,37.49218231,127.0574107,cafe,cafe
스타벅스 서울세관사거리,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회...,37.51491196,127.03575,cafe,cafe
스타벅스 청담사거리,서울특별시 강남구 도산대로 458 (청담동) 리츠타워...,37.5237679,127.0468717,cafe,cafe
스타벅스 한티역,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)...",37.49662252,127.0552332,cafe,cafe
스타벅스 역삼초교사거리,서울특별시 강남구 역삼로 123 (역삼동),37.49415449,127.0330086,cafe,cafe
스타벅스 코엑스몰,서울특별시 강남구 영동대로 513 (삼성동) O103호...,37.51182391,127.059159,cafe,cafe
스타벅스 가로수길,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)...",,,cafe,cafe
스타벅스 역삼대로,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)...",37.50188655,127.0392417,cafe,cafe
스타벅스 역삼포스코,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)...",37.49937533,127.0338034,cafe,cafe
스타벅스 강남대로,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)...",37.50313667,127.0255702,cafe,cafe
스타벅스 청담,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)...",37.52434447,127.051592,cafe,cafe
스타벅스 삼성교,"서울특별시 강남구 영동대로86길 12, 동남유화빌딩 1층...",37.50782352,127.0651879,cafe,cafe
스타벅스 학동역,서울특별시 강남구 논현로 704 (논현동),37.51460684,127.0307647,cafe,cafe
스타벅스 대치,서울특별시 강남구 도곡로 511 (대치동),37.49963263,127.0622381,cafe,cafe
스타벅스 신세계푸드마켓도곡,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)...",37.48945731,127.0539647,cafe,cafe
스타벅스 삼성,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)...",37.5069495,127.0555966,cafe,cafe
스타벅스 선릉세화빌딩,서울특별시 강남구 테헤란로64길 18 (대치동) 1층...,37.50377256,127.0511977,cafe,cafe
스타벅스 압구정역,"서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)...",37.52675834,127.0281065,cafe,cafe
스타벅스 압구정로,서울특별시 강남구 압구정로42길 32 (신사동)...,37.52683965,127.0347324,cafe,cafe
스타벅스 구역삼사거리,서울특별시 강남구 논현로 401 (역삼동),37.49592732,127.0389015,cafe,cafe
스타벅스 큰길타워,"서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)...",37.50240018,127.0406729,cafe,cafe
스타벅스 강남구청역,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)...",37.51661198,127.0412587,cafe,cafe
스타벅스 대치역,서울특별시 강남구 남부순환로 2936 (대치동) 107호...,37.49334891,127.0619166,cafe,cafe
스타벅스 포이,서울특별시 강남구 논현로 88 (개포동),37.47781764,127.045132,cafe,cafe
스타벅스 아크플레이스,서울특별시 강남구 테헤란로 142 (역삼동),37.49974405,127.0349548,cafe,cafe
스타벅스 학여울역,서울특별시 강남구 영동대로 215 (대치동),37.49799662,127.0685185,cafe,cafe
스타벅스 선정릉역,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩...,37.5107811,127.0445725,cafe,cafe
스타벅스 삼성현대힐,서울특별시 강남구 삼성로 605 (삼성동),37.51348445,127.0527176,cafe,cafe
스타벅스 GS타워,서울특별시 강남구 논현로 508 (역삼동),37.50199493,127.0373364,cafe,cafe
스타벅스 압구정미소,서울특별시 강남구 논현로 841 (신사동),37.52396847,127.0277588,cafe,cafe
스타벅스 선릉역,"서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동)...",37.50394524,127.0485276,cafe,cafe
스타벅스 코엑스사거리,서울특별시 강남구 영동대로 616 (삼성동),37.51524936,127.0602054,cafe,cafe
스타벅스 역삼럭키,서울특별시 강남구 도곡로 183 (역삼동),37.49223519,127.0394079,cafe,cafe
스타벅스 신압구정,서울특별시 강남구 언주로174길 29 (신사동),37.52811883,127.0364376,cafe,cafe
스타벅스 아크로힐스논현,"서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)...",37.5089969,127.0403937,cafe,cafe
스타벅스 강남비젼타워,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)...",37.49649294,127.0296979,cafe,cafe
스타벅스 압구정로데오역,"서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)...",37.52654281,127.0405336,cafe,cafe
스타벅스 르네상스사거리,서울특별시 강남구 테헤란로 306 (역삼동),37.50259528,127.044102,cafe,cafe
스타벅스 포스코,"서울특별시 강남구 삼성로86길 7, 1층 (대치동)...",37.50577445,127.057946,cafe,cafe
스타벅스 선릉로,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)...",37.5049886,127.0467433,cafe,cafe
스타벅스 논현힐탑,서울특별시 강남구 논현로 648 (논현동),37.51159474,127.0322766,cafe,cafe
스타벅스 도산가로수길,"서울특별시 강남구 도산대로 134, 2층 (논현동)...",37.51735317,127.0233806,cafe,cafe
스타벅스 매봉역,서울특별시 강남구 남부순환로 2736 (도곡동)...,37.48592082,127.0452374,cafe,cafe
스타벅스 청담역6번출구,서울특별시 강남구 삼성로 634 (삼성동),37.5166378,127.0518645,cafe,cafe
스타벅스 강남자곡,서울특별시 강남구 자곡로 172 (자곡동) 107~109호...,,,cafe,cafe
스타벅스 대치한티,서울특별시 강남구 선릉로 324 (대치동),37.49853038,127.0520942,cafe,cafe
스타벅스 개포동,서울특별시 강남구 선릉로 34 (개포동),37.48282727,127.0607545,cafe,cafe
스타벅스 수서역사거리,서울특별시 강남구 광평로 280 (수서동),37.48731916,127.1031081,cafe,cafe
스타벅스 코엑스아셈타워,서울특별시 강남구 영동대로 517 (삼성동),37.51311015,127.0597581,cafe,cafe
스타벅스 강남차여성병원,서울특별시 강남구 봉은사로 156 (역삼동),37.5063635,127.0319638,cafe,cafe
스타벅스 센터필드R,서울특별시 강남구 테헤란로 231 (역삼동),37.50288135,127.0413565,cafe,cafe
스타벅스 도산사거리,서울특별시 강남구 언주로 727 (논현동),37.5196,127.0341118,cafe,cafe
스타벅스 강남세곡,서울특별시 강남구 헌릉로569길 18 (세곡동),37.46727426,127.0999298,cafe,cafe
스타벅스 대치삼성,서울특별시 강남구 영동대로 237 (대치동),37.50046513,127.0670641,cafe,cafe
스타벅스 언주역,서울특별시 강남구 봉은사로 222 (역삼동),37.50776981,127.0365406,cafe,cafe
